Attempts,Bullet_at_Death
6,6
6,5
24,5
24,9
3,6
13,8
23,8
21,6
6,5
8,6
16,6
20,5
12,5
2,2
12,8
6,1
29,5
5,4
6,5
6,10
2,5
7,4
3,5
4,5
7,6
4,6
8,11
34,6
2,5
8,5
21,5
2,6
25,5
10,5
18,10
6,6
15,5
31,5
14,7
2,5
3,7
5,6
7,0
7,5
4,6
4,6
2,5
4,5
7,5
32,6
2,5
1,6
1,5
27,5
9,6
35,6
2,6
3,0
1,5
19,4
10,5
8,3
4,7
46,5
4,8
1,6
6,9
2,5
25,5
7,7
23,7
7,4
2,7
10,6
9,5
2,7
7,13
5,6
21,10
4,6
8,6
14,5
2,2
8,7
10,4
9,7
6,5
7,6
4,8
2,6
9,6
3,0
11,8
3,5
1,5
1,5
10,6
5,6
6,4
26,6
36,7
4,5
15,7
1,6
5,4
3,5
22,4
8,5
7,5
8,5
10,5
7,5
19,5
26,8
8,6
9,0
9,3
11,4
6,5
8,6
6,6
3,5
11,7
8,7
2,6
27,7
12,5
10,5
20,6
1,7
6,4
5,6
17,6
2,5
6,9
5,6
2,4
9,5
2,5
15,6
6,6
5,5
7,5
5,6
29,5
1,6
9,5
22,9
10,5
8,8
9,5
6,6
7,6
2,5
1,5
1,5
30,6
5,6
68,5
8,6
9,6
3,6
6,7
9,4
12,7
17,5
6,5
9,6
22,5
1,6
8,8
4,5
2,6
4,5
13,5
11,4
11,5
5,9
7,5
24,5
6,5
5,5
1,6
4,6
1,5
5,5
11,0
2,5
7,6
12,5
2,8
4,6
5,5
1,5
1,5
6,2
12,6
8,7
5,5
11,6
3,7
2,5
6,5
6,6
1,6
2,5
3,6
18,8
13,4
2,9
15,8
5,7
5,5
28,7
3,6
14,7
6,6
14,7
6,6
30,6
45,6
14,8
1,6
16,5
5,8
4,5
6,2
4,6
3,5
11,5
7,6
10,0
10,6
7,5
3,5
3,6
1,5
5,5
5,6
5,0
16,5
7,0
12,6
3,0
1,5
10,6
13,5
4,7
5,7
3,7
8,5
7,4
2,5
13,5
8,5
4,5
4,5
1,5
1,5
3,5
7,7
3,5
9,9
8,5
11,5
4,5
5,1
7,5
1,5
25,6
3,5
5,6
3,5
9,6
33,5
8,6
8,5
26,2
4,5
4,5
1,5
4,5
2,8
10,6
14,7
4,5
9,8
1,5
12,7
3,5
1,5
3,7
4,4
7,6
3,6
11,6
2,6
13,5
23,10
1,5
